ID,Length,PDB files,CATH CLASSIFICATION,SCOP CLASSIFICATION,Own protein function,BLAST HIT (not identical),Target protein Function,Target Length,Identity,e-value,position in BLAST file,
153l_,185,153l_.pdb,Mainly Alpha,Alpha and beta proteins (a+b),GOOSE LYSOZYME,3wyh_B,Lysozyme g,185,151/185 (81%),e-112,5,
1a17_,159,1a17_.pdb,Mainly Alpha,All alpha proteins,SERINE/THREONINE PROTEIN PHOSPHATASE 5,5jjt_B,Serine/threonine-protein phosphatase,479,72/154 (46%),0,9,
1a1x_,106,1a1x_.pdb,Mainly Beta,All beta proteins,HMTCP-1,1jnp_B,T-CELL LEUKEMIA/LYMPHOMA PROTEIN 1A,116,40/100 (40%),0,4,
1a2pA,108,1a2pA.pdb,Alpha Beta,Alpha and beta proteins (a+b),,1buj_A,PROTEIN (BINASE),109,91/108 (84%),0,131,
1a2zA,220,1a2zA.pdb,Alpha Beta,Alpha and beta proteins (a/b),PYRROLIDONE CARBOXYL PEPTIDASE,1iu8_A ,Pyrrolidone-carboxylate peptidase,206,117/211 (55%),0,5,
1a3aA,145,1a3aA.pdb,Alpha Beta,Alpha and beta proteins (a+b),MANNITOL-SPECIFIC EII,1a6j_B,NITROGEN REGULATORY IIA PROTEIN,163,33/129 (25%),9.00E-06,7,
1a3c_,166,1a3c_.pdb,Alpha Beta,Alpha and beta proteins (a/b),PYRIMIDINE OPERON REGULATORY PROTEIN PYRR,4p80_B,Ancestral PyrR protein (Green),180,156/176 (88%),e-102,9,
1a3k_,137,1a3k_.pdb,Mainly Beta,All beta proteins,GALECTIN-3,4wvw_A,Galectin,144,58/140 (41%),2.00E-30,53,
1a44_,185,1a44_.pdb,Alpha Beta,All beta proteins,PHOSPHATIDYLETHANOLAMINE-BINDING PROTEIN,6ens_A,Phosphatidylethanolamine-binding protein 1,193,159/184 (86%),e-116,10,
1a53_,247,1a53_.pdb,Alpha Beta,Alpha and beta proteins (a/b),INDOLE-3-GLYCEROLPHOSPHATE SYNTHASE,4a29_A,ENGINEERED RETRO-ALDOL ENZYME RA95.0,258,231/246 (93%),e-160,17,
1a6f_,113,1a6f_.pdb,Alpha Beta,Alpha and beta proteins (a+b),RIBONUCLEASE P PROTEIN,1d6t_A,RIBONUCLEASE P,117,55/110 (50%),5.00E-33,3,
1a6jA,150,1a6jA.pdb,Alpha Beta,Alpha and beta proteins (a+b),NITROGEN REGULATORY IIA PROTEIN,2a0j_A,PTS IIA-like nitrogen-regulatory protein ,149,55/129 (42%),3.00E-27,3,
1a6m_,151,1a6m_.pdb,Mainly Alpha,All alpha proteins,MYOGLOBIN,3ogb_A,Myoglobin,154,149/151 (98%),e-102,238,
1a73A,162,1a73A.pdb,Alpha Beta,Alpha and beta proteins (a+b),INTRON 3 (I-PPO) ENCODED ENDONUCLEASE,1evw_D,I-PPOI HOMING ENDONUCLEASE,163,161/162 (99%),e-116,11,
1a79A,171,1a79A.pdb,Alpha Beta,Alpha and beta proteins (a/b),TRNA ENDONUCLEASE,2cv8_A,tRNA-splicing endonuclease,180,64/154 (41%),1.00E-25,7,
1a7vA,125,1a7vA.pdb,Mainly Alpha,All alpha proteins,CYTOCHROME C',1s05_A,Cytochrome c-556,129,47/129 (36%,9.00E-18,5,
1a8l_,226,1a8l_.pdb,Alpha Beta,Alpha and beta proteins (a/b),PROTEIN DISULFIDE OXIDOREDUCTASE,1j08_H,glutaredoxin-like protein,226,200/226 (88%),e-151,2,
1a9nA,162,1a9nA.pdb,Alpha Beta,Alpha and beta proteins (a/b),U2A',3jb9_j,U2 small nuclear ribonucleoprotein A',239,77/161 (47%),9.00E-49,7,
1aa7A,158,1aa7A.pdb,Mainly Alpha,All alpha proteins,INFLUENZA VIRUS MATRIX PROTEIN,5v7s_C,Matrix protein 1,171,152/157 (96%),e-109,9,
1aac_,105,1aac_.pdb,Mainly Beta,All beta proteins,AMICYANIN,1id2_C,AMICYANIN,106,66/105 (62%),2.00E-37,65,
1abv_,105,1abv_.pdb,Mainly Alpha,All alpha proteins,DELTA SUBUNIT OF THE F1F0-ATP SYNTHASE,5lqz_U,ATP synthase OSCP subunit,194,26/89 (29%),2.00E-03,6,
1ac6A,110,1ac6A.pdb,Mainly Beta,All beta proteins,T-CELL RECEPTOR ALPHA,2z35_A,T-cell receptor alpha-chain,112,106/112 (94%),1.00E-71,3,
1acf_,125,1acf_.pdb,Alpha Beta,Alpha and beta proteins (a+b),PROFILIN I,3dav_B,Profilin,127,60/126 (47%),2.00E-32,8,
1acz_,108,1acz_.pdb,Mainly Beta,All beta proteins,GLUCOAMYLASE,2vn7_A,GLUCOAMYLASE,599,49/108 (45%),2.00E-25,11,
1ad2_,224,1ad2_.pdb,Alpha Beta,Multi-domain proteins (alpha and beta),RIBOSOMAL PROTEIN L1,5j8b_C,50S ribosomal protein L1,228,223/224 (99%),e-160,34,
1ae9A,171,1ae9A.pdb,Mainly Alpha,Alpha and beta proteins (a+b),LAMBDA INTEGRASE,1z1b_B,Integrase,356,170/179 (94%),e-119,12,
1agi_,125,1agi_.pdb,Alpha Beta,Alpha and beta proteins (a+b),ANGIOGENIN,2bwk_A,ANGIOGENIN,121,83/121 (68%),2.00E-55,3,
1agjA,242,1agjA.pdb,Mainly Beta,All beta proteins,EPIDERMOLYTIC TOXIN A,1dt2_A,EXFOLIATIVE TOXIN B,245,103/217 (47%),1.00E-57,7,
1agrE,128,1agrE.pdb,Mainly Alpha,All alpha proteins,RGS4,2ode_D,Regulator of G-protein signaling 8,141,72/127 (56%),2.00E-51,5,
1ahsA,126,1ahsA.pdb,Mainly Beta,All beta proteins,AFRICAN HORSE SICKNESS VIRUS (SEROTYPE 4) VP7,1bvp_6,BLUETONGUE VIRUS COAT PROTEIN VP7,349,40/127 (31%),2.00E-13,4,
1aihA,170,1aihA.pdb,Mainly Alpha,Alpha and beta proteins (a+b),HP1 INTEGRASE,5dor_D,Integrase,176,77/163 (47%),7.00E-44,5,Só para lembrar que essa foi a última! hahaha
