ID,Length,PDB files,CATH CLASSIFICATION,SCOP CLASSIFICATION,Own protein function,BLAST HIT (not identical),Target protein Function,Target Length,Identity,e-value,position in BLAST file,
12asA,327,12asA.pdb,Alpha Beta,Alpha and beta proteins (a+b),ASPARAGINE SYNTHETASE,4lns_A,Asparagine synthetase a,340,194/340 (57%),e-136,5,
16pk_,415,16pk_.pdb,Alpha Beta,Alpha and beta proteins (a/b),3-PHOSPHOGLYCERATE KINASE,1vpe_A,PHOSPHOGLYCERATE KINASE,398,276/412 (66%),e-124,6,
16vpA,311,16vpA.pdb,Mainly Alpha,Alpha and beta proteins (a+b),-,-,-,-,-,-,-,Só ela é hit
19hcA,292,19hcA.pdb,Alpha Beta,All alpha proteins,,1duw_A,NONAHEME CYTOCHROME C,292,230/290 (79%),e-175,7,
1a02N,280,1a02N.pdb,Mainly Beta,All beta proteins,,1nfa_A,HUMAN TRANSCRIPTION FACTOR NFATC1,178,144/175 (82%),e-105,24,
1a0cA,437,1a0cA.pdb,Alpha Beta,Alpha and beta proteins (a/b),XYLOSE ISOMERASE,5yn3_D,Xylose isomerase,449,214/433 (49%),e-151,11,
1a0tP,413,1a0tP.pdb,Mainly Beta,Membrane and cell surface proteins and peptides,SUCROSE-SPECIFIC PORIN,1oh2_Q,SUCROSE SPECIFIC PORIN,413,404/413 (97%),0.0,9,
1a12A,401,1a12A.pdb,Mainly Beta,All beta proteins,REGULATOR OF CHROMOSOME CONDENSATION,3mvd_L,Regulator of chromosome condensation,423,170/390 (43%),0,14,
1a28A,251,1a28A.pdb,Mainly Alpha,All alpha proteins,PROGESTERONE RECEPTOR,4fne_A,Steroid receptor 2,254,168/248 (67%),e-128,35,
1a2oA,347,1a2oA.pdb,Alpha Beta,Alpha and beta proteins (a/b),,1chd_A,CHEB METHYLESTERASE,203,201/201 (100%),e-145,3,
1a3qA,285,1a3qA.pdb,Mainly Beta,All beta proteins,PROTEIN (NUCLEAR FACTOR KAPPA-B P52),2i9t_B,Nuclear factor NF-kappa-B p105 subunit,313,175/312 (56%),e-117,4,
1a48_,298,1a48_.pdb,Alpha Beta,Alpha and beta proteins (a+b),PHOSPHORIBOSYLAMINOIMIDAZOLE-SUCCINOCARBOXAMIDE SYNTHASE,3r9r_A,Phosphoribosylaminoimidazole-succinocarboxamide synthase,301,122/296 (41%),0,7,
1a4iA,285,1a4iA.pdb,Alpha Beta,Alpha and beta proteins (a/b),METHYLENETETRAHYDROFOLATE DEHYDROGENASE / METHENYLTETRAHYDROFOLATE CYCLOHYDROLASE,4a26_B,"PUTATIVE C-1-TETRAHYDROFOLATE SYNTHASE, CYTOPLASMIC",300,181/294 (61%),0,9,
1a4mA,349,1a4mA.pdb,Alpha Beta,Alpha and beta proteins (a/b),ADENOSINE DEAMINASE,2z7g_A,Adenosine deaminase,356,296/349 (84%),0.0,23,
1a4yA,460,1a4yA.pdb,Alpha Beta,Alpha and beta proteins (a/b),RIBONUCLEASE INHIBITOR,4per_A,Ribonuclease Inhibitor,460,227/454 (50%),e-163,17,
